round_number,it_2,t_2,it_3,t_3,it_4,t_4,it_5,t_5
0,21396.01,0.828004848,23621.11,0.750007091,20649.69,0.857930555,20868.45,0.848937032
1,6298.75,2.812621552,5598.27,3.164549048,5042.85,3.513092795,5200.74,3.406438315
2,5828.86,3.039359326,5148.92,3.440721549,4837.61,3.662138949,4845.62,3.656085289
3,5884.03,3.010861603,5248.27,3.375588527,4519.19,3.920171535,4669.13,3.794282875
4,5669.02,3.125055124,5181.38,3.419166322,4453.19,3.978271756,4634.35,3.822758316
5,5652.67,3.134094154,5061.16,3.500383311,4403.71,4.02297154,4440.87,3.989308401
6,5547.25,3.193654513,5030.37,3.521808535,4453.38,3.978102026,4405.15,4.02165647
7,5513.72,3.213075746,5028.23,3.523307406,4430.93,3.998257702,4368.26,4.0556194
