round_number,it_2,t_2,it_3,t_3,it_4,t_4,it_5,t_5
0,21657,0.818026504,21685,0.816970256,22404,0.790751651,24138,0.733946474
1,5860,3.023208191,5546,3.194374324,5385,3.289879294,5522,3.208257878
2,5757,3.077297203,5058,3.502570186,4997,3.545327196,5188,3.414803392
3,5744,3.084261838,5078,3.488775108,4918,3.602277349,5071,3.493591008
4,5584,3.172636103,4921,3.600081284,4823,3.673232428,4972,3.56315366
5,5462,3.243500549,4915,3.604476094,4550,3.893626374,4909,3.608881646
6,5287,3.350860601,4797,3.693141547,4680,3.785470085,4837,3.662600786
7,5394,3.284390063,4822,3.673994193,4512,3.92641844,4794,3.695452649
