round_number,it_2,t_2,it_3,t_3,it_4,t_4,it_5,t_5
0,21240,0.834086629,20047,0.88372325,21248,0.83377259,20228,0.875815701
1,6091,2.908553604,5483,3.231077877,5110,3.466927593,4710,3.761358811
2,5787,3.061344393,5137,3.44870547,4740,3.737552743,3378,5.244523387
3,5508,3.216412491,5007,3.538246455,4558,3.886792453,3229,5.486528337
4,5436,3.259013981,4987,3.552436334,4432,3.997292419,3339,5.305780174
5,4515,3.923809524,3591,4.933444723,3074,5.763175016,3082,5.748215445
6,3712,4.77262931,3486,5.082042456,3081,5.750081142,3234,5.478045764
7,3853,4.597975603,3471,5.10400461,3035,5.83723229,3183,5.56581841

