round_number,it_2,t_2,it_3,t_3,it_4,t_4,it_5,t_5
0,24050.77,0.736608433,21874.66,0.809886874,22899.54,0.773639995,21896,0.809097552
1,6616.87,2.677398831,5738.47,3.087234054,5485.04,3.229876172,5157.7,3.434864378
2,6118.1,2.895670224,5377.9,3.294222652,5110.93,3.466296741,4928.33,3.594726814
3,6057.86,2.924465075,5242.34,3.379406906,4831.22,3.666982667,4629.09,3.827102087
4,5920.89,2.992117739,5364.06,3.302722192,4468.23,3.964880948,3437.71,5.153430627
5,5928.26,2.988397945,5069.77,3.494438604,3290.24,5.384409648,3266.8,5.423043957
6,5822.42,3.042721068,4885.87,3.625966307,3340.54,5.303334191,3118.15,5.68157401
7,5857.94,3.024271331,3596.82,4.925461936,3271.11,5.415898579,3293.94,5.378361476
