count,quadratic_cost
387,0.09867349
388,0.099184096
389,0.09969601
390,0.10020924
391,0.1007238
392,0.10123967
393,0.101756856
394,0.102275364
395,0.10279518
396,0.10331633
397,0.10383879
398,0.10436256
399,0.10488766
400,0.10541406
401,0.105941795
402,0.106470846
403,0.10700121
404,0.10753289
405,0.10806589
406,0.10860021
407,0.109135844
408,0.10967279
409,0.11021107
410,0.11075065
411,0.11129156
412,0.11183378
413,0.11237732
414,0.112922184
415,0.11346836
416,0.114015855
417,0.114564665
418,0.11511479
419,0.11566624
420,0.11621901
421,0.11677309
422,0.117328495
423,0.11788521
424,0.11844324
425,0.119002596
426,0.11956327
427,0.12012526
428,0.120688565
429,0.12125319
430,0.12181913
431,0.12238639
432,0.122954965
433,0.12352486
434,0.12409607
435,0.124668606
436,0.12524246
437,0.12581761
438,0.12639411
439,0.1269719
440,0.12755102
441,0.12813145
442,0.1287132
443,0.12929629
444,0.12988067
445,0.13046637
446,0.1310534
447,0.13164175
448,0.1322314
449,0.13282238
450,0.13341467
451,0.13400829
452,0.13460322
453,0.13519947
454,0.13579704
455,0.13639592
456,0.13699612
457,0.13759764
458,0.13820048
459,0.13880463
460,0.13941011
461,0.1400169
462,0.140625
463,0.14123443
464,0.14184517
465,0.14245723
466,0.14307061
467,0.1436853
468,0.14430131
469,0.14491865
470,0.1455373
471,0.14615726
472,0.14677854
473,0.14740115
474,0.14802507
475,0.1486503
476,0.14927685
477,0.14990473
478,0.15053393
479,0.15116443
480,0.15179625
481,0.1524294
482,0.15306386
483,0.15369964
484,0.15433674
485,0.15497515
486,0.15561488
487,0.15625593
488,0.15689829
489,0.15754198
490,0.15818699
491,0.15883331
492,0.15948094
493,0.16012989
494,0.16078018
495,0.16143176
496,0.16208467
497,0.16273889
498,0.16339444
499,0.1640513
500,0.16470948
501,0.16536897
502,0.1660298
503,0.16669193
504,0.16735537
505,0.16802014
506,0.16868623
507,0.16935363
508,0.17002235
509,0.17069238
510,0.17136374
511,0.17203641
512,0.1727104
513,0.17338571
514,0.17406234
515,0.17474028
516,0.17541955
517,0.17610013
518,0.17678203
519,0.17746525
520,0.17814977
521,0.17883562
522,0.1795228
523,0.18021128
524,0.18090108
525,0.1815922
526,0.18228464
527,0.18297839
528,0.18367347
529,0.18436986
530,0.18506756
531,0.1857666
532,0.18646695
533,0.1871686
534,0.18787159
535,0.18857588
536,0.1892815
537,0.18998843
538,0.19069669
539,0.19140625
540,0.19211714
541,0.19282934
542,0.19354287
543,0.1942577
544,0.19497386
545,0.19569133
546,0.19641012
547,0.19713023
548,0.19785166
549,0.19857441
550,0.19929847
551,0.20002384
552,0.20075054
553,0.20147857
554,0.2022079
555,0.20293854
556,0.20367052
557,0.2044038
558,0.20513842
559,0.20587432
560,0.20661157
561,0.20735013
562,0.20809
563,0.20883119
564,0.2095737
565,0.21031754
566,0.21106268
567,0.21180914
568,0.21255693
569,0.21330602
570,0.21405643
571,0.21480817
572,0.21556123
573,0.2163156
574,0.21707128
575,0.21782829
576,0.21858661
577,0.21934626
578,0.22010721
579,0.22086948
580,0.22163308
581,0.22239798
582,0.22316422
583,0.22393176
584,0.22470063
585,0.22547081
586,0.2262423
587,0.22701512
588,0.22778925
589,0.22856471
590,0.22934148
591,0.23011957
592,0.23089898
593,0.2316797
594,0.23246174
595,0.23324509
596,0.23402977
597,0.23481576
598,0.23560308
599,0.23639171
600,0.23718165
601,0.23797292
602,0.2387655
603,0.2395594
604,0.24035461
605,0.24115115
606,0.241949
607,0.24274817
608,0.24354866
609,0.24435046
610,0.24515359
611,0.24595803
612,0.24676378
613,0.24757086
614,0.24837926
615,0.24918897
616,0.25
617,0.25081235
618,0.251626
619,0.252441
620,0.2532573
621,0.2540749
622,0.25489384
623,0.2557141
624,0.25653568
625,0.25735855
626,0.25818276
627,0.2590083
628,0.25983512
629,0.2606633
630,0.26149276
631,0.26232356
632,0.26315567
633,0.2639891
634,0.26482385
635,0.26565993
636,0.2664973
637,0.267336
