count,one_step_cost
915,17.921068
916,18.144241
917,18.370178
918,18.598902
919,18.830456
920,19.064884
921,19.30221
922,19.542467
923,19.785694
924,20.031937
925,20.281223
926,20.533585
927,20.789064
928,21.047709
929,21.309557
930,21.57462
931,21.842962
932,22.114658
933,22.389671
934,22.668074
935,22.949928
936,23.235264
937,23.524105
938,23.816513
939,24.112535
940,24.412216
941,24.71558
942,25.022682
943,25.333586
944,25.648321
945,25.966927
946,26.289457
947,26.615973
948,26.946514
949,27.281115
950,27.619839
951,27.962746
952,28.309877
953,28.661268
954,29.016985
955,29.377098
956,29.741638
957,30.110653
958,30.484211
959,30.86242
960,31.245222
961,31.632734
962,32.025024
963,32.422146
964,32.82413
965,33.231052
966,33.643
967,34.060005
968,34.48212
969,34.90942
970,35.341988
971,35.77987
972,36.223114
973,36.6718
974,37.126007
975,37.5858
976,38.051212
977,38.522343
978,38.999268
979,39.48205
980,39.97074
981,40.465416
982,40.96619
983,41.4731
984,41.986206
985,42.5056
986,43.031456
987,43.563663
988,44.1024
989,44.64776
990,45.19981
991,45.75859
992,46.324223
993,46.896805
994,47.476406
995,48.063084
996,48.656933
997,49.25809
998,49.866596
999,50.482544
1000,51.10601
1001,51.737144
1002,52.376003
1003,53.022648
1004,53.6772
1005,54.339794
1006,55.010494
1007,55.68936
1008,56.376534
1009,57.072136
1010,57.776237
1011,58.488934
1012,59.210327
1013,59.940655
1014,60.679802
1015,61.42797
1016,62.185314
1017,62.951904
1018,63.727837
1019,64.513245
1020,65.308266
1021,66.11301
1022,66.927536
1023,67.752014
1024,68.586586
1025,69.43135
1026,70.28638
1027,71.15185
1028,72.0279
1029,72.914665
1030,73.81219
1031,74.72068
1032,75.64028
1033,76.5711
1034,77.51323
1035,78.46684
1036,79.43213
1037,80.40917
1038,81.398094
1039,82.399055
1040,83.41238
1041,84.437904
1042,85.47592
1043,86.52662
1044,87.590126
1045,88.666534
1046,89.75606
1047,90.85889
1048,91.97514
1049,93.104965
1050,94.24853
1051,95.40607
1052,96.57769
1053,97.76353
1054,98.96379
1055,100.17871
1056,101.40841
1057,102.65301
1058,103.91278
1059,105.187904
1060,106.47855
1061,107.784836
1062,109.107
1063,110.445305
1064,111.799866
1065,113.17085
1066,114.558495
1067,115.96324
1068,117.38482
1069,118.82368
1070,120.2801
1071,121.754196
1072,123.24615
